Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Classe/Série,Amortização/Vencimento,categoria_evidencia,grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,termos_encontrados,trecho,fonte_pagina
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790772,Instrumento Particular de Alteração do Regulamento,regulamento,data/raw/50473039000102/790772_regulamento_regulamento_790772_2024-11-28.pdf,8,\bamortiza[cç][aã]o\b,"...critivo” significa o anexo descritivo da cota classe única do Fundo, sendo este essencial à sua constituição, o qual constará anexo a este Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos Apêndices descreverão as condições específicas das séries de cada Subclasse. “Assembleia Especial” significa a assembleia especial de Cotistas d e uma Classe e de suas respectivas Subclasses, para a qual serão convocados apenas os Cotistas da respectiva Classe e de suas respectivas Subclasses e cuja competência estará restrita às deliberações e matérias de interesse exc...",790772_regulamento_regulamento_790772_2024-11-28.pdf p.8
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790772,Instrumento Particular de Alteração do Regulamento,regulamento,data/raw/50473039000102/790772_regulamento_regulamento_790772_2024-11-28.pdf,10,\bamortiza[cç][aã]o\b,"7 JUR_SP - 49898231v15 - 2154004.522027 pagamentos referentes aos Direitos Creditórios adquiridos pelo Fundo. “Cotas” significa, em conjunto, as Subclasses de Cotas da Classe Única do Fundo, representativas de frações ideais do patrimônio da Classe Única, cujas características e direitos, bem como as condições de emissão, subscrição, integralização, remuneração e amortização estarão descritas no Anexo Descritivo da Classe Única e nos respectivos Apêndices. “Cotista” significa o titular de Cotas emitidas pelo Fundo. “Contratos de Cessão"" tem o significado atribuído no Anexo Descritivo. “Custodiante” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A., instituição devidamente autorizada pela CVM para o exercício da atividade de administração de carteira de valores mobiliários, custódia de va...",790772_regulamento_regulamento_790772_2024-11-28.pdf p.10
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790772,Instrumento Particular de Alteração do Regulamento,regulamento,data/raw/50473039000102/790772_regulamento_regulamento_790772_2024-11-28.pdf,13,\bamortiza[cç][aã]o\b,"...da Classe Única, nos termos descritos no Anexo Descritivo, e conforme previsto na Resolução CVM 175/22, conforme aplicável. 2.3 Composição do Patrimônio do Fundo . O patrimônio do Fundo será formado por Classe Única , sendo preservada a possibilidade de constituição de Subclasses, na forma do §3º, do artigo 5º, da Resolução CVM 175/22. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização das Subclasses da Classe Única serão descritos no Anexo Descritivo e em seus respectivos Apêndices, os quais passarão a integrar o presente Regulamento. 2.3.1 Mediante autorização d os Cotistas em sede de Assembleia Geral e realização das adaptações necessárias ao presente Regulamento e ao seu Anexo Descritivo, a partir da entrada em vigor da integralidade do artigo 5º da Resolução CVM 175/22, o Fundo poderá criar diferentes Classes de cotas, co...",790772_regulamento_regulamento_790772_2024-11-28.pdf p.13
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790772,Instrumento Particular de Alteração do Regulamento,regulamento,data/raw/50473039000102/790772_regulamento_regulamento_790772_2024-11-28.pdf,19,"\bamortiza[cç][aã]o\b, \bvencimento\b","...s Creditórios , incluindo: (1) descrição de contratos relevantes firmados com esse propósito, se houver; e (2) indicação do caráter definitivo, ou não, da cessão de Direitos Creditórios; (e) impacto dos eventos de pré -pagamento no valor do Patrimônio Líquido e na rentabilidade da carteira do Fundo e/ou da Classe Única; (f) condições de alienação, a qualquer título, de Direitos Creditórios, incluindo: (1) momento da alienação (antes ou depois do vencimento); e (2) motivação da alienação; (g) impacto no valor do Patrimônio Líquido e na rentabilidade da carteira de ativos de uma possível descontinuidade, a qualquer título, da originação ou cessão de Direitos Creditórios; e (h) informações sobre fatos ocorridos que afetaram a regularidade dos fluxos financeiros oriundos dos Direitos Creditórios, incluindo, mas não se limitando, a quaisquer eventos que acarretem na liquidação ou amortização antecipada...",790772_regulamento_regulamento_790772_2024-11-28.pdf p.19
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790777,Regulamento,regulamento,data/raw/50473039000102/790777_regulamento_regulamento_790777_2024-11-28.pdf,4,\bvencimento\b,"...ssamente estabelecido neste Regulamento, referências a itens ou anexos aplicam-se a itens ou anexos deste Regulamento; (e) todas as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo -se o dia do começo e incluindo-se o dia do vencimento. “Administradora” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A., instituição devidamente autorizada pela CVM para o exercício da atividade de administração de carteira de valores mobiliários, custódia de valores mobiliários e escrituração de valores mobiliários, inscrita no CNPJ sob o nº 36.113.876/0001-91, com sede na cidade do Rio de Janeiro, Estado do Rio de Janeiro, na Avenida das Américas, nº 3.434, bloco 07...",790777_regulamento_regulamento_790777_2024-11-28.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790777,Regulamento,regulamento,data/raw/50473039000102/790777_regulamento_regulamento_790777_2024-11-28.pdf,5,\bamortiza[cç][aã]o\b,"...critivo” significa o anexo descritivo da cota classe única do Fundo, sendo este essencial à sua constituição, o qual constará anexo a este Regulamento. “Anexo Normativo II” significa o anexo normativo II da Resolução CVM 175/22, conforme em vigor. “Apêndices” significam os apêndices integrantes do Anexo Descritivo, os quais descreverão as características , os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização de cada Subclasse de Cotas para a Classe Única do Fundo, e cujos Adendos dos Apêndices descreverão as condições específicas das séries de cada Subclasse. “Assembleia Especial” significa a assembleia especial de Cotistas d e uma Classe e de suas respectivas Subclasses, para a qual serão convocados apenas os Cotistas da respectiva Classe e de suas respectivas Subclasses e cuja competência estará restrita às deliberações e matérias de interesse exc...",790777_regulamento_regulamento_790777_2024-11-28.pdf p.5
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790777,Regulamento,regulamento,data/raw/50473039000102/790777_regulamento_regulamento_790777_2024-11-28.pdf,7,\bamortiza[cç][aã]o\b,"7 JUR_SP - 49898231v15 - 2154004.522027 pagamentos referentes aos Direitos Creditórios adquiridos pelo Fundo. “Cotas” significa, em conjunto, as Subclasses de Cotas da Classe Única do Fundo, representativas de frações ideais do patrimônio da Classe Única, cujas características e direitos, bem como as condições de emissão, subscrição, integralização, remuneração e amortização estarão descritas no Anexo Descritivo da Classe Única e nos respectivos Apêndices. “Cotista” significa o titular de Cotas emitidas pelo Fundo. “Contratos de Cessão"" tem o significado atribuído no Anexo Descritivo. “Custodiante” significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A., instituição devidamente autorizada pela CVM para o exercício da atividade de administração de carteira de valores mobiliários, custódia de va...",790777_regulamento_regulamento_790777_2024-11-28.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790777,Regulamento,regulamento,data/raw/50473039000102/790777_regulamento_regulamento_790777_2024-11-28.pdf,10,\bamortiza[cç][aã]o\b,"...da Classe Única, nos termos descritos no Anexo Descritivo, e conforme previsto na Resolução CVM 175/22, conforme aplicável. 2.3 Composição do Patrimônio do Fundo . O patrimônio do Fundo será formado por Classe Única , sendo preservada a possibilidade de constituição de Subclasses, na forma do §3º, do artigo 5º, da Resolução CVM 175/22. As características e os direitos, assim como as condições de emissão, subscrição, integralização, remuneração e amortização das Subclasses da Classe Única serão descritos no Anexo Descritivo e em seus respectivos Apêndices, os quais passarão a integrar o presente Regulamento. 2.3.1 Mediante autorização d os Cotistas em sede de Assembleia Geral e realização das adaptações necessárias ao presente Regulamento e ao seu Anexo Descritivo, a partir da entrada em vigor da integralidade do artigo 5º da Resolução CVM 175/22, o Fundo poderá criar diferentes Classes de cotas, co...",790777_regulamento_regulamento_790777_2024-11-28.pdf p.10
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,28/11/2024,790777,Regulamento,regulamento,data/raw/50473039000102/790777_regulamento_regulamento_790777_2024-11-28.pdf,16,"\bamortiza[cç][aã]o\b, \bvencimento\b","...s Creditórios , incluindo: (1) descrição de contratos relevantes firmados com esse propósito, se houver; e (2) indicação do caráter definitivo, ou não, da cessão de Direitos Creditórios; (e) impacto dos eventos de pré -pagamento no valor do Patrimônio Líquido e na rentabilidade da carteira do Fundo e/ou da Classe Única; (f) condições de alienação, a qualquer título, de Direitos Creditórios, incluindo: (1) momento da alienação (antes ou depois do vencimento); e (2) motivação da alienação; (g) impacto no valor do Patrimônio Líquido e na rentabilidade da carteira de ativos de uma possível descontinuidade, a qualquer título, da originação ou cessão de Direitos Creditórios; e (h) informações sobre fatos ocorridos que afetaram a regularidade dos fluxos financeiros oriundos dos Direitos Creditórios, incluindo, mas não se limitando, a quaisquer eventos que acarretem na liquidação ou amortização antecipada...",790777_regulamento_regulamento_790777_2024-11-28.pdf p.16
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,29/05/2023,471085,Regulamento,regulamento,data/raw/50473039000102/471085_regulamento_regulamento_471085_2023-05-29.pdf,4,\bvencimento\b,"...ssamente estabelecido neste Regulamento, referências a itens ou anexos aplicam -se a itens ou anexos deste Regulamento; (e) todas as referências a quaisquer partes incluem seus sucessores, representantes e cessionários autorizados; e (f) salvo disposição em contrário, todos os prazos previstos neste Regulamento serão contados na forma prevista no artigo 224 do Código de Processo Civil, isto é, excluindo-se o dia do começo e incluindo-se o dia do vencimento. “Acordo Operacional” significa o instrumento particular celebrado entre o Devedor e o Mercado Crédito para viabilizar a operação de pagamento com sub-rogação, na qual o Mercado Crédito se sub-roga nos direitos dos Estabelecimentos Comerciais de receber o valor devido pelo Devedor pela respectiva Transação de Pagamento. “Administradora” conforme definido no Artigo 6.1, significa a OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A...",471085_regulamento_regulamento_471085_2023-05-29.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,29/05/2023,471085,Regulamento,regulamento,data/raw/50473039000102/471085_regulamento_regulamento_471085_2023-05-29.pdf,5,\bamortiza[cç][aã]o\b,"...de Agente de Pagamento e Registro, observadas as disposições do Artigo 7.6. deste Regulamento. “Alocação Mínima” tem o significado que lhe é atribuído no Artigo 3.2 deste Regulamento. “Ambiente de Interoperabilidade” significa a base de controle e mecanismos de trocas de informações padronizadas que viabilizam a interoperabilidade entre as Entidades Registradoras, na forma prevista na Convenção entre Entidades Registradoras, conforme aplicável. “Amortização de Principal” significa, com relação a cada Data de Amortização, a amortização de parcela do valor de principal das Cotas, calculado nos termos deste Regulamento e do(s) Suplemento(s).",471085_regulamento_regulamento_471085_2023-05-29.pdf p.5
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,29/05/2023,471085,Regulamento,regulamento,data/raw/50473039000102/471085_regulamento_regulamento_471085_2023-05-29.pdf,6,"\bamortiza[cç][aã]o\b, \bvencimento\b",6 “Amortização Extraordinária” tem seu significado atribuído no Artigo 11.2.2 deste Regulamento. “ANBIMA” significa a Associação Brasileira das Entidades do Mercado Financeiro e de Capitais. “Anexo” significa qualquer dos anexos a este Regulamento e que constitui parte integrante e inseparável do presente Regulamento. “Arquivo de Oferta” significa o arquivo eletrônico ou registros gerados eletronicamente com base no Sistema Mercado Pago e/ou nos sistemas de Me...,471085_regulamento_regulamento_471085_2023-05-29.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,29/05/2023,471085,Regulamento,regulamento,data/raw/50473039000102/471085_regulamento_regulamento_471085_2023-05-29.pdf,7,\bvencimento\b,"...vo Lastro” significa o arquivo eletrônico co ntendo informações complementares ao Arquivo de Sub -rogação a respeito das características dos Direitos Creditórios Mercado Crédito, permitindo a identificação individualizada de cada U.R. associada à Dívida objeto de sub -rogação que originou os Direitos Creditórios Mercado Crédito adquiridos pelo Fundo , ao nível de U.R., incluindo , entre outras informações , o valor da Dívida e a sua nova data de vencimento, e que será entregue pelo Mercado Crédito ao Fundo, nos termos do Contrato de Cessão dos Direitos Creditórios do Mercado Crédito, após cada Formalização Eletrônica de Cessão. “Arranjo de Pagamento Aberto” significa o arranjo de pagamento em que as atividades relacionadas à prestação de serviços de pagamento por ele disciplinadas são realizadas por qualquer instituição que atenda aos critérios de participação estabelecidos no regulamento do arran...",471085_regulamento_regulamento_471085_2023-05-29.pdf p.7
